Model,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2
Linear Regression,0.95880609378819,0.8215298883221102,0.653958480823586,0.6129058253806691,0.7436616899884125,0.7898048138687316
Ridge Regression,0.9588110664612026,0.8213731861729132,0.6540425798092356,0.6128314646135035,0.74365903107769,0.789884993291329
Random Forest,0.4212319828210988,0.5865751838081398,0.19857464838662006,0.37695041182901146,0.9505239952678044,0.8928422959546797
XGBoost,0.05837264718210549,0.5845954363577907,0.04147758061865938,0.41629626343813897,0.999049896925645,0.8935644103299243
LightGBM,0.3372636807185109,0.6291802425270226,0.20216728909800016,0.44643671694582704,0.9682830734574717,0.8767104742274842
SVM,0.13869716733336526,0.8997709559743873,0.09821285872182697,0.6708651569446772,0.9946360202650867,0.7478610326925719
Voting Ensemble,0.49882599931443905,0.5636810262378733,0.3188212277339711,0.4214324631204103,0.930617473830813,0.9010438336121753
Weighted Voting Ensemble,0.47863226338667664,0.5580723748098436,0.30392997818141637,0.4159846139845427,0.9361213270146709,0.9030032731811855
Stacking Ensemble,0.38041658326638284,0.5390910600912617,0.24135779454709985,0.3740292159011888,0.9596474646307682,0.9094892239016734
Stacking-XGBoost,0.4714465620602975,0.6908683879473151,0.2854634204850148,0.4357625361516386,0.938024949151312,0.851349398321446
